name,address,source,category,latitude,longitude
Lyon Recreation Center,Unknown,OpenStreetMap,Academic Building,,
Montgomery Ross Fisher Building,Unknown,OpenStreetMap,Academic Building,,
Mrs Willis H Booth Ferris Memorial Hall,Unknown,OpenStreetMap,Academic Building,,
Neely Petroleum Engineering,"921 Bloom Walk, Los Angeles, CA 90089",OpenStreetMap,Other,34.0201737,-118.2890084
Downey Way Parking Structure,"3667 McClintock Avenue, Los Angeles, CA 90089",OpenStreetMap,Parking,34.0210427,-118.2904059
Jefferson Blvd. Parking Structure,Unknown,OpenStreetMap,Parking,,
Royal Street Parking Structure,Unknown,OpenStreetMap,Parking,,
Parking Structure Two,Unknown,OpenStreetMap,Parking,,
McCarthy Way Parking Structure,Unknown,OpenStreetMap,Parking,,
Parkside Apartments,"3730 McClintock Avenue, Los Angeles, CA 90089",OpenStreetMap,Other,34.0192846,-118.2902447
Popovich Hall,Unknown,OpenStreetMap,Academic Building,,
Powell Hall,"3737 Watt Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0191918,-118.2888418
University of Southern California Hotel,"3450 Figueroa Street, Los Angeles, CA 90007",OpenStreetMap,Campus,34.1750786,-118.1908812
Ray and Nadine Watt Hall of Architecture and Fine Arts,"850 Bloom Walk, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0190737,-118.2880611
Ronald Tutor Hall,Unknown,OpenStreetMap,Academic Building,,
Salvatori Computer Science Center,"3730 McClintock Avenue, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0192846,-118.2902447
Scene Dock Theatre,Unknown,OpenStreetMap,Other,,
School of Cinematic Arts - SCA,Unknown,OpenStreetMap,Academic Building,,
School of Cinematic Arts - SCC,Unknown,OpenStreetMap,Academic Building,,
School of Cinematic Arts - SCE,Unknown,OpenStreetMap,Academic Building,,
School of Cinematic Arts - SCI,Unknown,OpenStreetMap,Academic Building,,
School of Cinematic Arts - SCX,Unknown,OpenStreetMap,Academic Building,,
School of Cinematic Arts -SCB,Unknown,OpenStreetMap,Academic Building,,
Seeley G. Mudd Building,Unknown,OpenStreetMap,Academic Building,,
Social Sciences Building,Unknown,OpenStreetMap,Academic Building,,
Social Work Center,Unknown,OpenStreetMap,Academic Building,,
Loker Hall,"837 Bloom Walk, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.019622,-118.2875927
Stonier Hall,Unknown,OpenStreetMap,Academic Building,,
Taper Hall,Unknown,OpenStreetMap,Academic Building,,
Technical Theatre Laboratory,Unknown,OpenStreetMap,Academic Building,,
The Music Complex,Unknown,OpenStreetMap,Other,,
USC Bookstores,Unknown,OpenStreetMap,Other,,
United University Church,Unknown,OpenStreetMap,Other,,
Virginia Ramo Hall of Music,Unknown,OpenStreetMap,Academic Building,,
Vivian Hall,"3651 Watt Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0201544,-118.2882372
Waite Phillips Hall,Unknown,OpenStreetMap,Academic Building,,
Wallis Annenberg Hall,Unknown,OpenStreetMap,Academic Building,,
Wilson Dental Library and Norris Dental Science Center,Unknown,OpenStreetMap,Academic Building,,
McAlister Academic Resource Center,Unknown,OpenStreetMap,Academic Building,,
Ahmanson Center for Biological Research,"825 Bloom Walk, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0193619,-118.2869185
Ralph and Goldy Lewis Hall,Unknown,OpenStreetMap,Academic Building,,
Uytengsu Aquatics Center,Unknown,OpenStreetMap,Academic Building,,
John J Brooks Memorial Pavilion,Unknown,OpenStreetMap,Academic Building,,
King Hall,"1025 West 34th Street, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0247978,-118.287982
Pardee Tower,"614 Hellman Way, Los Angeles, CA 90089",OpenStreetMap,Other,34.0200163,-118.2826142
Jill & Frank Fertitta Hall,"610 Childs Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0186748,-118.2824608
Marks Tower,Unknown,OpenStreetMap,Other,,
McClintock Hall,Unknown,OpenStreetMap,Academic Building,,
Rapp Hall,"854 Downey Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0200159,-118.2875241
Seaver Science Library,"910 Bloom Walk, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0195847,-118.288758
Stauffer Science Lecture Hall,"837 Bloom Walk, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.019622,-118.2875927
Stauffer Hall,"835 Bloom Walk, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0196353,-118.2869051
Webb Tower,Unknown,OpenStreetMap,Other,,
Mail Stop and Card Services,Unknown,OpenStreetMap,Other,,
The Little Chapel of Silence,Unknown,OpenStreetMap,Other,,
Michelson Center for Convergent Biosciences,"1002 Childs Way, Los Angeles, CA 90089",OpenStreetMap,Academic Building,34.0217438,-118.2896147
SSCI Building,Unknown,OpenStreetMap,Academic Building,,
USC Iovine and Young Academy,"3738 Watt Way, Los Angeles, CA 90089",OpenStreetMap,Other,34.0186396,-118.2883486
Ginsburg Hall,Unknown,OpenStreetMap,Academic Building,,
